Designator,Mid X,Mid Y,Rotation,Layer
BZ1,175.41,-85.52,90.0,top
C1,175.61,-108.32,270.0,top
C10,156.61,-99.32,0.0,top
C12,165.31,-87.92,270.0,top
C13,182.41,-108.32,270.0,top
C14,191.71,-105.72,0.0,top
C15,198.81,-90.17,270.0,top
C16,198.81,-94.27,90.0,top
C17,180.31,-104.22,270.0,top
C18,177.51,-104.22,270.0,top
C19,174.81,-104.22,270.0,top
C2,185.91,-109.82,270.0,top
C20,188.31,-93.72,90.0,top
C21,172.01,-104.22,270.0,top
C3,145.01,-76.72,270.0,top
C4,168.51,-92.82,180.0,top
C5,136.71,-111.82,0.0,top
C6,136.71,-115.12,180.0,top
C7,136.76,-118.52,180.0,top
C8,179.01,-108.32,270.0,top
C9,168.51,-90.72,180.0,top
D1,183.642,-114.046,270.0,top
D10,167.91,-87.379,90.0,top
D11,149.51,-122.22,270.0,top
D13,187.31,-98.02,0.0,top
D14,183.21,-98.02,0.0,top
D2,178.81,-118.32,90.0,top
D3,152.61,-122.32,270.0,top
D4,165.31,-114.52,90.0,top
D5,168.01,-114.4575,90.0,top
D6,185.801,-80.899,180.0,top
D7,170.41,-114.4575,90.0,top
D8,156.11,-122.32,90.0,top
D9,155.91,-102.72,90.0,top
J1,143.72,-85.12,90.0,top
J10,167.535,-129.77,180.0,top
J12,177.61,-75.52,0.0,top
J14,178.61,-97.07,270.0,top
J15,159.288,-83.902,180.0,top
J16,144.31,-114.52,0.0,top
J17,168.71,-75.52,0.0,top
J18,159.81,-75.52,0.0,top
J19,144.81,-129.62,180.0,top
J2,178.51,-129.82,180.0,top
J3,215.51,-78.0,270.0,top
J4,215.51,-90.24,270.0,top
J5_2,201.225,-79.7875,90.0,top
J5,215.51,-102.48,270.0,top
J6,215.51,-114.72,270.0,top
J7,215.256,-127.087,270.0,top
J8,156.41,-129.82,180.0,top
J9,185.91,-75.52,0.0,top
K1,203.91,-121.82,180.0,top
L1,183.41,-104.32,270.0,top
Q10,151.71,-113.02,90.0,top
Q2,170.86,-122.7575,90.0,top
Q3,182.96,-122.7575,90.0,top
Q4,155.71,-115.5825,90.0,top
Q5,184.81,-84.82,180.0,top
Q6,159.71,-114.42,0.0,top
Q7,177.9725,-114.12,0.0,top
Q8,173.81,-114.3575,90.0,top
Q9,167.91,-96.22,180.0,top
R1,145.01,-80.82,270.0,top
R10,155.61,-111.92,180.0,top
R11,175.785,-118.92,180.0,top
R12,165.31,-118.32,270.0,top
R13,188.01,-84.82,270.0,top
R14,168.01,-118.2575,270.0,top
R15,170.41,-118.2575,270.0,top
R16,186.61,-114.12,90.0,top
R17,170.91,-96.42,90.0,top
R19,171.11,-100.22,90.0,top
R2,192.532,-102.616,90.0,top
R20,159.91,-95.9325,270.0,top
R21,157.61,-95.9325,270.0,top
R22,174.91,-93.62,270.0,top
R23,189.01,-109.02,0.0,top
R24,189.01,-111.22,0.0,top
R25,190.373,-102.616,90.0,top
R26,162.21,-95.92,270.0,top
R29,185.91,-87.82,0.0,top
R30,194.818,-102.616,270.0,top
R31,187.31,-100.82,0.0,top
R32,183.21,-100.82,0.0,top
R35,163.21,-114.42,90.0,top
R36,159.766,-122.428,270.0,top
R37,155.91,-106.52,270.0,top
R38,172.91,-118.2575,90.0,top
R39,164.61,-96.12,270.0,top
R40,171.91,-93.02,270.0,top
R41,152.31,-117.12,90.0,top
R5,166.71,-122.42,270.0,top
R6,175.01,-122.62,90.0,top
R8,163.41,-122.42,90.0,top
R9,178.61,-122.72,90.0,top
SW1,151.01,-77.32,90.0,top
SW2,139.01,-77.22,90.0,top
U1,186.71,-104.92,180.0,top
U2,144.15,-99.67,90.0,top
U3,193.71,-92.87,90.0,top
U5,164.21,-104.32,90.0,top
U6,174.295,-97.47,180.0,top
U7,184.21,-92.92,270.0,top
U8,159.81,-90.42,180.0,top
U9,204.11,-98.82,180.0,top
Y1,165.608,-91.694,270.0,top
